departamento,municipio,universidad,semestre,programa,rol,edad,sexo,orientacion,identidad,discapacidad,etnia,religion,estado_civil,origen,estrato,target_vg,target_frecuencia,target_denuncia,target_apoyoU,target_percepcion,target_semestre,target_programa,target_rol,target_rangoEdad,target_sexo,target_orientacion,target_identidad,target_discapacidad,target_etnia,target_religion,target_estadoCivil,target_origen,target_estrato
Antioquia,Cali,Universidad B,Quinto,AdministracionEmpresas,Externo,23,hembra,lesbiana,mujer,ninguna,afrocolombianos,cristianismo,divorciado,otroDepartamento,4,0,siempre,1,0,muyBuena,Séptimo,Psicologia,Estudiante,menores18,hembra,otra,mujer,psicosociales,indigena,ateismo,divorciado,otroDepartamento,4
Antioquia,Medellín,Universidad C,Décimo,Derecho,Externo,38,macho,gay,mujer,ninguna,afrocolombianos,cristianismo,divorciado,municipioLocal,2,1,casinunca,0,1,regular,Tercero,ContaduriaPublica,Estudiante,entre26y40,hembra,gay,otra,psicosociales,raizales,otra,divorciado,otroMunicipio,3
Boyacá,Cali,Universidad B,Quinto,Psicologia,Estudiante,23,hembra,gay,otra,sensoriales,gitanos,cristianismo,divorciado,otroDepartamento,1,0,nunca,0,1,muyBuena,Primero,ContaduriaPublica,Docente,mayores40,hembra,gay,otra,fisicas,afrocolombianos,agnosticismo,casado,otroMunicipio,2
Valle del Cauca,Montería,Universidad A,Décimo,AdministracionEmpresas,Administrativx,49,hembra,lesbiana,mujer,multiples,afrocolombianos,otra,casado,otroPais,2,0,siempre,1,0,muyMala,Octavo,Derecho,Estudiante,entre18y25,hembra,otra,mujer,sensoriales,indigena,agnosticismo,viudo,municipioLocal,5
Córdoba,Tunja,Universidad C,Quinto,Psicologia,Docente,58,hembra,gay,otra,sensoriales,afrocolombianos,cristianismo,divorciado,otroMunicipio,6,0,nunca,0,0,mala,Décimo,ContaduriaPublica,Estudiante,mayores40,macho,otra,mujer,ninguna,indigena,evangelismo,viudo,otroPais,5
Valle del Cauca,Cali,Universidad C,Tercero,Derecho,Estudiante,60,intersexual,otra,hombre,sensoriales,ninguna,catolicismo,viudo,otroMunicipio,1,0,casisiempre,0,1,buena,Décimo,ContaduriaPublica,Externo,entre18y25,macho,bisexual,hombre,psicosociales,indigena,catolicismo,unionLibre,otroMunicipio,4
Boyacá,Bogotá,Universidad A,Séptimo,AdministracionEmpresas,Docente,56,macho,lesbiana,mujer,sensoriales,indigena,catolicismo,casado,municipioLocal,4,1,puntomedio,0,1,regular,Séptimo,IngenieriaSistemas,Externo,entre18y25,hembra,hetero,otra,multiples,gitanos,catolicismo,viudo,municipioLocal,3
Boyacá,Montería,Universidad C,Sexto,ContaduriaPublica,Estudiante,48,intersexual,gay,hombre,intelectuales,raizales,ateismo,casado,otroDepartamento,1,0,nunca,1,1,mala,Décimo,Psicologia,Externo,mayores40,intersexual,hetero,hombre,multiples,ninguna,cristianismo,soltero,otroPais,4
Valle del Cauca,Montería,Universidad C,Cuarto,Derecho,Estudiante,59,macho,hetero,hombre,fisicas,indigena,cristianismo,divorciado,otroDepartamento,3,0,casinunca,0,1,regular,Octavo,ContaduriaPublica,Externo,entre18y25,intersexual,lesbiana,mujer,fisicas,afrocolombianos,catolicismo,casado,otroDepartamento,3
Boyacá,Cali,Universidad A,Segundo,IngenieriaSistemas,Externo,27,macho,hetero,hombre,ninguna,gitanos,evangelismo,unionLibre,otroPais,5,1,nunca,1,0,buena,Primero,Psicologia,Estudiante,entre18y25,intersexual,hetero,mujer,intelectuales,afrocolombianos,cristianismo,unionLibre,otroDepartamento,1
Valle del Cauca,Cali,Universidad C,Noveno,Psicologia,Externo,47,intersexual,otra,hombre,intelectuales,indigena,ateismo,soltero,municipioLocal,1,0,nunca,0,0,muyMala,Tercero,Psicologia,Administrativx,mayores40,intersexual,lesbiana,otra,ninguna,ninguna,ateismo,soltero,municipioLocal,2
Cundinamarca,Tunja,Universidad A,Primero,Derecho,Estudiante,35,hembra,lesbiana,mujer,fisicas,afrocolombianos,otra,unionLibre,otroPais,6,1,nunca,0,0,buena,Segundo,IngenieriaSistemas,Docente,menores18,macho,lesbiana,hombre,fisicas,gitanos,cristianismo,divorciado,otroDepartamento,3
Valle del Cauca,Medellín,Universidad A,Cuarto,Derecho,Externo,41,hembra,gay,hombre,ninguna,gitanos,cristianismo,unionLibre,otroPais,5,0,nunca,0,1,regular,Primero,Psicologia,Docente,mayores40,macho,gay,mujer,intelectuales,gitanos,cristianismo,soltero,municipioLocal,4
Valle del Cauca,Cali,Universidad B,Primero,AdministracionEmpresas,Estudiante,26,macho,gay,otra,multiples,indigena,catolicismo,casado,otroMunicipio,3,0,casinunca,0,0,regular,Quinto,ContaduriaPublica,Administrativx,entre26y40,macho,gay,hombre,fisicas,ninguna,catolicismo,unionLibre,municipioLocal,1
Boyacá,Cali,Universidad B,Sexto,AdministracionEmpresas,Administrativx,48,intersexual,hetero,mujer,ninguna,gitanos,evangelismo,casado,otroMunicipio,6,1,casinunca,1,1,buena,Tercero,Psicologia,Administrativx,entre18y25,intersexual,bisexual,hombre,multiples,ninguna,agnosticismo,viudo,otroDepartamento,4
Boyacá,Bogotá,Universidad C,Cuarto,AdministracionEmpresas,Externo,32,hembra,otra,hombre,ninguna,raizales,ateismo,casado,otroDepartamento,5,1,nunca,0,1,muyBuena,Décimo,Derecho,Docente,entre26y40,hembra,otra,hombre,psicosociales,raizales,ateismo,casado,otroPais,5
Antioquia,Montería,Universidad C,Quinto,IngenieriaSistemas,Externo,21,hembra,hetero,mujer,ninguna,indigena,evangelismo,viudo,otroDepartamento,3,0,puntomedio,0,1,buena,Octavo,Derecho,Estudiante,entre18y25,intersexual,otra,hombre,sensoriales,gitanos,evangelismo,unionLibre,municipioLocal,5
Antioquia,Medellín,Universidad A,Quinto,AdministracionEmpresas,Externo,57,macho,hetero,otra,psicosociales,afrocolombianos,cristianismo,viudo,otroPais,5,0,nunca,1,1,muyMala,Sexto,IngenieriaSistemas,Docente,menores18,macho,lesbiana,hombre,psicosociales,indigena,cristianismo,soltero,otroPais,2
Cundinamarca,Bogotá,Universidad C,Noveno,Derecho,Administrativx,26,macho,otra,hombre,multiples,gitanos,agnosticismo,soltero,otroDepartamento,5,0,casinunca,0,0,buena,Décimo,ContaduriaPublica,Administrativx,entre18y25,intersexual,otra,otra,multiples,afrocolombianos,cristianismo,soltero,otroPais,6
Antioquia,Tunja,Universidad A,Primero,AdministracionEmpresas,Estudiante,26,intersexual,lesbiana,otra,intelectuales,ninguna,evangelismo,casado,otroPais,2,0,casisiempre,0,1,mala,Noveno,IngenieriaSistemas,Estudiante,mayores40,hembra,lesbiana,otra,sensoriales,gitanos,otra,unionLibre,municipioLocal,2
Valle del Cauca,Tunja,Universidad A,Segundo,ContaduriaPublica,Docente,43,macho,gay,hombre,intelectuales,gitanos,evangelismo,divorciado,otroDepartamento,6,1,nunca,0,0,muyBuena,Noveno,Derecho,Docente,entre18y25,hembra,otra,hombre,intelectuales,ninguna,cristianismo,unionLibre,otroPais,1
Boyacá,Cali,Universidad C,Sexto,AdministracionEmpresas,Externo,21,hembra,lesbiana,otra,fisicas,ninguna,otra,casado,otroDepartamento,6,0,nunca,1,0,mala,Sexto,ContaduriaPublica,Estudiante,entre26y40,intersexual,bisexual,otra,intelectuales,indigena,agnosticismo,unionLibre,municipioLocal,5
Antioquia,Cali,Universidad A,Quinto,IngenieriaSistemas,Estudiante,34,hembra,bisexual,hombre,intelectuales,afrocolombianos,catolicismo,viudo,otroMunicipio,1,0,nunca,1,0,buena,Segundo,Psicologia,Estudiante,mayores40,macho,gay,mujer,multiples,raizales,evangelismo,viudo,otroDepartamento,3
Antioquia,Tunja,Universidad B,Séptimo,ContaduriaPublica,Administrativx,33,hembra,bisexual,mujer,sensoriales,raizales,cristianismo,casado,otroMunicipio,6,1,nunca,0,0,muyBuena,Noveno,ContaduriaPublica,Administrativx,entre26y40,macho,gay,hombre,sensoriales,raizales,otra,unionLibre,otroDepartamento,5
Cundinamarca,Cali,Universidad C,Tercero,Derecho,Docente,32,hembra,bisexual,hombre,ninguna,ninguna,evangelismo,viudo,otroMunicipio,6,0,siempre,0,1,mala,Segundo,AdministracionEmpresas,Externo,menores18,macho,lesbiana,otra,psicosociales,indigena,catolicismo,divorciado,otroDepartamento,6
Cundinamarca,Medellín,Universidad B,Tercero,Derecho,Externo,52,intersexual,otra,mujer,intelectuales,raizales,cristianismo,casado,otroMunicipio,5,0,nunca,0,1,mala,Tercero,ContaduriaPublica,Docente,entre26y40,intersexual,otra,otra,multiples,indigena,ateismo,casado,otroDepartamento,2
Valle del Cauca,Cali,Universidad C,Décimo,Psicologia,Administrativx,22,intersexual,hetero,hombre,fisicas,gitanos,catolicismo,divorciado,municipioLocal,4,1,casinunca,0,0,muyBuena,Sexto,Psicologia,Administrativx,entre26y40,macho,hetero,mujer,intelectuales,ninguna,agnosticismo,casado,otroDepartamento,4
Boyacá,Montería,Universidad A,Segundo,ContaduriaPublica,Administrativx,22,macho,lesbiana,hombre,fisicas,afrocolombianos,otra,soltero,otroMunicipio,2,1,casinunca,1,0,muyBuena,Segundo,AdministracionEmpresas,Docente,entre26y40,intersexual,bisexual,mujer,multiples,ninguna,evangelismo,divorciado,otroPais,1
Cundinamarca,Cali,Universidad C,Tercero,Psicologia,Docente,37,macho,gay,otra,sensoriales,ninguna,cristianismo,divorciado,municipioLocal,1,0,siempre,1,1,regular,Quinto,IngenieriaSistemas,Externo,mayores40,macho,otra,mujer,psicosociales,afrocolombianos,ateismo,soltero,otroPais,6
Antioquia,Bogotá,Universidad B,Décimo,ContaduriaPublica,Estudiante,32,macho,bisexual,otra,fisicas,gitanos,catolicismo,viudo,otroMunicipio,2,0,nunca,0,1,muyBuena,Segundo,ContaduriaPublica,Externo,menores18,hembra,hetero,mujer,fisicas,afrocolombianos,catolicismo,soltero,otroPais,5
Boyacá,Medellín,Universidad A,Primero,ContaduriaPublica,Externo,35,intersexual,lesbiana,otra,psicosociales,indigena,catolicismo,unionLibre,otroDepartamento,1,0,puntomedio,1,0,buena,Cuarto,IngenieriaSistemas,Externo,menores18,hembra,bisexual,hombre,ninguna,raizales,ateismo,soltero,otroMunicipio,3
Boyacá,Bogotá,Universidad C,Quinto,IngenieriaSistemas,Externo,19,hembra,bisexual,hombre,ninguna,gitanos,ateismo,divorciado,otroPais,3,0,nunca,0,1,muyMala,Tercero,ContaduriaPublica,Externo,menores18,macho,bisexual,otra,ninguna,indigena,otra,soltero,otroMunicipio,6
Antioquia,Bogotá,Universidad C,Quinto,Psicologia,Estudiante,46,macho,bisexual,hombre,ninguna,raizales,otra,casado,otroDepartamento,5,0,casinunca,0,1,regular,Quinto,Derecho,Docente,entre26y40,intersexual,gay,otra,ninguna,raizales,cristianismo,viudo,municipioLocal,3
Cundinamarca,Montería,Universidad C,Séptimo,IngenieriaSistemas,Estudiante,30,hembra,gay,hombre,ninguna,afrocolombianos,otra,soltero,otroDepartamento,6,1,casisiempre,0,1,muyBuena,Sexto,Derecho,Estudiante,mayores40,macho,lesbiana,mujer,fisicas,ninguna,cristianismo,divorciado,otroMunicipio,3
Antioquia,Medellín,Universidad B,Cuarto,ContaduriaPublica,Estudiante,21,macho,otra,mujer,multiples,afrocolombianos,cristianismo,casado,municipioLocal,6,1,casisiempre,0,0,muyMala,Séptimo,Psicologia,Estudiante,mayores40,intersexual,otra,otra,psicosociales,gitanos,agnosticismo,casado,otroDepartamento,1
Boyacá,Medellín,Universidad B,Tercero,Derecho,Docente,59,macho,hetero,mujer,intelectuales,gitanos,agnosticismo,casado,otroMunicipio,4,1,puntomedio,1,1,regular,Décimo,Derecho,Externo,mayores40,hembra,bisexual,otra,sensoriales,ninguna,ateismo,divorciado,otroDepartamento,3
Córdoba,Medellín,Universidad C,Primero,ContaduriaPublica,Docente,27,macho,otra,hombre,psicosociales,indigena,ateismo,divorciado,otroPais,2,0,nunca,0,1,buena,Octavo,AdministracionEmpresas,Externo,entre26y40,intersexual,otra,otra,multiples,gitanos,cristianismo,casado,otroDepartamento,3
Córdoba,Medellín,Universidad A,Octavo,IngenieriaSistemas,Externo,48,macho,lesbiana,otra,intelectuales,raizales,otra,soltero,otroPais,2,1,siempre,0,1,muyMala,Noveno,AdministracionEmpresas,Estudiante,menores18,macho,bisexual,mujer,psicosociales,indigena,agnosticismo,soltero,municipioLocal,5
Valle del Cauca,Medellín,Universidad A,Tercero,Psicologia,Docente,58,macho,otra,otra,psicosociales,gitanos,catolicismo,unionLibre,otroMunicipio,2,0,nunca,1,1,muyBuena,Cuarto,ContaduriaPublica,Administrativx,entre26y40,hembra,gay,otra,fisicas,indigena,agnosticismo,viudo,municipioLocal,1
Antioquia,Montería,Universidad B,Segundo,Psicologia,Administrativx,25,hembra,lesbiana,otra,intelectuales,gitanos,otra,casado,municipioLocal,6,0,puntomedio,1,1,muyBuena,Cuarto,IngenieriaSistemas,Externo,mayores40,intersexual,lesbiana,otra,intelectuales,indigena,otra,unionLibre,municipioLocal,4
Antioquia,Cali,Universidad A,Cuarto,IngenieriaSistemas,Externo,20,macho,lesbiana,hombre,sensoriales,afrocolombianos,agnosticismo,soltero,municipioLocal,2,0,puntomedio,1,0,buena,Séptimo,AdministracionEmpresas,Estudiante,entre26y40,intersexual,hetero,otra,ninguna,afrocolombianos,agnosticismo,unionLibre,municipioLocal,4
Valle del Cauca,Bogotá,Universidad B,Tercero,Psicologia,Docente,26,hembra,hetero,otra,fisicas,raizales,evangelismo,unionLibre,municipioLocal,5,0,puntomedio,1,1,regular,Décimo,ContaduriaPublica,Administrativx,entre18y25,hembra,hetero,hombre,ninguna,afrocolombianos,catolicismo,soltero,otroPais,3
Valle del Cauca,Medellín,Universidad C,Primero,AdministracionEmpresas,Estudiante,47,intersexual,gay,hombre,fisicas,indigena,evangelismo,casado,otroPais,1,1,casisiempre,0,1,muyMala,Décimo,IngenieriaSistemas,Estudiante,menores18,macho,gay,hombre,psicosociales,gitanos,cristianismo,soltero,municipioLocal,6
Valle del Cauca,Cali,Universidad B,Tercero,Derecho,Administrativx,28,macho,hetero,mujer,sensoriales,afrocolombianos,otra,soltero,municipioLocal,6,0,nunca,1,1,buena,Noveno,Derecho,Administrativx,menores18,hembra,bisexual,otra,ninguna,raizales,cristianismo,divorciado,municipioLocal,2
Boyacá,Cali,Universidad B,Segundo,Derecho,Estudiante,52,hembra,otra,otra,psicosociales,gitanos,otra,divorciado,municipioLocal,5,0,nunca,1,0,regular,Segundo,ContaduriaPublica,Docente,mayores40,macho,gay,otra,ninguna,raizales,evangelismo,viudo,otroMunicipio,1
Antioquia,Bogotá,Universidad C,Octavo,Derecho,Externo,54,intersexual,lesbiana,mujer,multiples,afrocolombianos,ateismo,casado,otroPais,3,1,siempre,1,0,mala,Sexto,IngenieriaSistemas,Administrativx,entre26y40,macho,lesbiana,otra,psicosociales,gitanos,catolicismo,viudo,otroPais,2
Boyacá,Montería,Universidad A,Sexto,Psicologia,Estudiante,59,intersexual,bisexual,otra,psicosociales,afrocolombianos,otra,casado,otroPais,5,0,puntomedio,1,1,mala,Décimo,Psicologia,Externo,mayores40,intersexual,hetero,otra,psicosociales,afrocolombianos,cristianismo,divorciado,otroDepartamento,1
Valle del Cauca,Tunja,Universidad B,Noveno,Psicologia,Docente,30,intersexual,bisexual,hombre,fisicas,ninguna,agnosticismo,soltero,otroDepartamento,5,1,puntomedio,0,1,regular,Décimo,Psicologia,Administrativx,entre26y40,macho,otra,otra,fisicas,ninguna,otra,viudo,otroMunicipio,1
Antioquia,Tunja,Universidad B,Octavo,ContaduriaPublica,Docente,53,hembra,lesbiana,hombre,multiples,afrocolombianos,otra,casado,otroPais,3,0,casinunca,1,0,muyBuena,Octavo,AdministracionEmpresas,Administrativx,entre18y25,macho,hetero,otra,fisicas,gitanos,cristianismo,viudo,municipioLocal,5
Boyacá,Cali,Universidad C,Décimo,ContaduriaPublica,Externo,30,macho,hetero,hombre,intelectuales,afrocolombianos,cristianismo,unionLibre,otroMunicipio,5,0,casinunca,0,1,muyBuena,Quinto,IngenieriaSistemas,Externo,menores18,hembra,lesbiana,hombre,ninguna,raizales,evangelismo,unionLibre,otroDepartamento,3
Boyacá,Bogotá,Universidad A,Tercero,Derecho,Estudiante,29,macho,gay,hombre,multiples,raizales,agnosticismo,casado,otroPais,1,1,casisiempre,0,0,mala,Quinto,Psicologia,Docente,menores18,hembra,bisexual,mujer,psicosociales,gitanos,ateismo,viudo,otroDepartamento,5
Valle del Cauca,Tunja,Universidad B,Quinto,AdministracionEmpresas,Externo,54,hembra,hetero,otra,psicosociales,afrocolombianos,ateismo,viudo,otroPais,6,0,nunca,0,1,muyBuena,Octavo,AdministracionEmpresas,Administrativx,entre26y40,macho,gay,otra,psicosociales,gitanos,ateismo,soltero,otroDepartamento,6
Antioquia,Cali,Universidad C,Séptimo,ContaduriaPublica,Estudiante,27,macho,lesbiana,mujer,sensoriales,indigena,cristianismo,unionLibre,municipioLocal,4,0,siempre,1,1,muyBuena,Primero,ContaduriaPublica,Docente,menores18,intersexual,hetero,otra,ninguna,indigena,catolicismo,unionLibre,otroMunicipio,2
Valle del Cauca,Montería,Universidad B,Quinto,ContaduriaPublica,Administrativx,26,hembra,lesbiana,hombre,intelectuales,gitanos,cristianismo,soltero,otroDepartamento,3,0,siempre,0,0,regular,Sexto,ContaduriaPublica,Estudiante,entre26y40,hembra,hetero,otra,sensoriales,afrocolombianos,agnosticismo,soltero,otroPais,2
Antioquia,Tunja,Universidad C,Octavo,Psicologia,Docente,24,macho,gay,otra,psicosociales,raizales,evangelismo,unionLibre,municipioLocal,6,0,puntomedio,1,1,regular,Décimo,IngenieriaSistemas,Estudiante,mayores40,intersexual,otra,mujer,intelectuales,indigena,evangelismo,soltero,otroPais,4
Córdoba,Cali,Universidad A,Quinto,AdministracionEmpresas,Externo,19,intersexual,otra,mujer,intelectuales,afrocolombianos,agnosticismo,viudo,otroDepartamento,2,0,siempre,0,1,muyBuena,Noveno,IngenieriaSistemas,Externo,entre18y25,hembra,gay,otra,multiples,afrocolombianos,evangelismo,divorciado,otroDepartamento,6
Cundinamarca,Cali,Universidad A,Primero,Derecho,Administrativx,40,macho,otra,hombre,multiples,indigena,cristianismo,viudo,municipioLocal,1,0,puntomedio,1,0,regular,Sexto,IngenieriaSistemas,Docente,entre26y40,hembra,otra,otra,multiples,gitanos,cristianismo,viudo,municipioLocal,6
Cundinamarca,Medellín,Universidad A,Quinto,ContaduriaPublica,Administrativx,56,hembra,gay,mujer,fisicas,gitanos,ateismo,casado,otroMunicipio,4,0,nunca,0,1,muyMala,Séptimo,IngenieriaSistemas,Externo,entre18y25,macho,otra,mujer,ninguna,afrocolombianos,otra,viudo,otroPais,5
Cundinamarca,Montería,Universidad A,Cuarto,AdministracionEmpresas,Externo,57,hembra,otra,hombre,psicosociales,raizales,evangelismo,casado,municipioLocal,1,1,siempre,1,0,mala,Cuarto,Psicologia,Externo,mayores40,hembra,bisexual,otra,multiples,raizales,cristianismo,viudo,otroPais,5
Valle del Cauca,Medellín,Universidad B,Sexto,AdministracionEmpresas,Externo,56,intersexual,bisexual,mujer,sensoriales,indigena,cristianismo,divorciado,municipioLocal,1,0,puntomedio,1,1,muyMala,Décimo,Psicologia,Administrativx,mayores40,hembra,hetero,mujer,fisicas,indigena,otra,viudo,municipioLocal,6
Córdoba,Bogotá,Universidad B,Tercero,Derecho,Administrativx,38,hembra,otra,mujer,multiples,afrocolombianos,agnosticismo,unionLibre,otroMunicipio,2,0,nunca,0,0,muyMala,Primero,AdministracionEmpresas,Estudiante,mayores40,intersexual,gay,mujer,fisicas,gitanos,evangelismo,unionLibre,otroMunicipio,5
Antioquia,Medellín,Universidad A,Quinto,AdministracionEmpresas,Estudiante,40,macho,otra,hombre,psicosociales,ninguna,evangelismo,divorciado,otroMunicipio,4,0,nunca,0,0,muyBuena,Noveno,Psicologia,Externo,entre26y40,hembra,bisexual,otra,sensoriales,raizales,agnosticismo,casado,otroMunicipio,4
Boyacá,Medellín,Universidad A,Segundo,AdministracionEmpresas,Administrativx,46,macho,otra,otra,sensoriales,ninguna,agnosticismo,viudo,otroPais,1,1,puntomedio,1,0,muyBuena,Sexto,ContaduriaPublica,Administrativx,entre18y25,hembra,bisexual,hombre,ninguna,afrocolombianos,ateismo,soltero,municipioLocal,5
Antioquia,Tunja,Universidad A,Sexto,AdministracionEmpresas,Externo,31,intersexual,bisexual,mujer,psicosociales,raizales,agnosticismo,casado,municipioLocal,2,1,puntomedio,1,0,muyMala,Tercero,AdministracionEmpresas,Administrativx,entre18y25,intersexual,bisexual,hombre,fisicas,afrocolombianos,catolicismo,casado,otroMunicipio,5
Boyacá,Cali,Universidad B,Sexto,ContaduriaPublica,Administrativx,43,hembra,otra,hombre,multiples,indigena,agnosticismo,casado,otroMunicipio,3,1,casisiempre,1,1,muyMala,Cuarto,Psicologia,Docente,menores18,macho,lesbiana,otra,ninguna,raizales,otra,casado,otroDepartamento,6
Antioquia,Montería,Universidad A,Quinto,Derecho,Estudiante,22,intersexual,bisexual,mujer,psicosociales,gitanos,evangelismo,casado,otroMunicipio,2,1,nunca,0,0,buena,Décimo,IngenieriaSistemas,Estudiante,entre26y40,macho,lesbiana,mujer,ninguna,afrocolombianos,ateismo,casado,otroPais,6
Córdoba,Medellín,Universidad A,Sexto,AdministracionEmpresas,Docente,48,macho,gay,mujer,intelectuales,indigena,cristianismo,soltero,otroPais,5,0,puntomedio,1,0,buena,Sexto,Psicologia,Docente,menores18,hembra,bisexual,mujer,psicosociales,indigena,catolicismo,unionLibre,otroMunicipio,5
Boyacá,Montería,Universidad A,Séptimo,AdministracionEmpresas,Docente,42,intersexual,hetero,otra,multiples,ninguna,otra,viudo,otroDepartamento,6,0,nunca,0,1,mala,Sexto,Derecho,Docente,menores18,hembra,lesbiana,mujer,intelectuales,ninguna,agnosticismo,casado,otroDepartamento,5
Valle del Cauca,Medellín,Universidad C,Quinto,ContaduriaPublica,Administrativx,48,hembra,gay,mujer,psicosociales,raizales,catolicismo,casado,otroMunicipio,2,0,siempre,1,0,muyMala,Noveno,AdministracionEmpresas,Externo,entre26y40,intersexual,gay,otra,intelectuales,afrocolombianos,evangelismo,unionLibre,otroDepartamento,6
Antioquia,Bogotá,Universidad A,Primero,Derecho,Estudiante,37,intersexual,hetero,mujer,fisicas,afrocolombianos,cristianismo,viudo,otroMunicipio,2,0,casinunca,1,1,regular,Cuarto,Psicologia,Docente,menores18,macho,hetero,hombre,ninguna,gitanos,agnosticismo,divorciado,otroDepartamento,2
Antioquia,Medellín,Universidad C,Octavo,Psicologia,Docente,34,hembra,gay,hombre,psicosociales,indigena,evangelismo,casado,municipioLocal,2,0,casinunca,0,1,buena,Quinto,Psicologia,Externo,menores18,macho,gay,mujer,intelectuales,afrocolombianos,otra,divorciado,otroDepartamento,3
Boyacá,Tunja,Universidad C,Cuarto,ContaduriaPublica,Administrativx,19,hembra,hetero,hombre,intelectuales,ninguna,catolicismo,unionLibre,otroPais,1,0,puntomedio,1,1,muyBuena,Quinto,ContaduriaPublica,Docente,menores18,macho,hetero,mujer,intelectuales,gitanos,evangelismo,divorciado,otroDepartamento,2
Valle del Cauca,Cali,Universidad A,Noveno,Derecho,Administrativx,42,macho,hetero,otra,sensoriales,gitanos,catolicismo,viudo,municipioLocal,4,1,puntomedio,1,0,muyMala,Tercero,IngenieriaSistemas,Administrativx,mayores40,intersexual,lesbiana,otra,multiples,afrocolombianos,cristianismo,unionLibre,municipioLocal,5
Valle del Cauca,Bogotá,Universidad C,Décimo,AdministracionEmpresas,Estudiante,30,macho,lesbiana,mujer,sensoriales,raizales,catolicismo,divorciado,otroDepartamento,2,1,nunca,1,0,regular,Segundo,IngenieriaSistemas,Estudiante,entre26y40,intersexual,gay,hombre,multiples,afrocolombianos,catolicismo,unionLibre,otroPais,1
Córdoba,Medellín,Universidad A,Sexto,Derecho,Externo,56,macho,hetero,mujer,sensoriales,afrocolombianos,otra,soltero,otroPais,2,0,puntomedio,0,1,regular,Octavo,ContaduriaPublica,Estudiante,mayores40,intersexual,otra,hombre,psicosociales,gitanos,cristianismo,soltero,otroPais,1
Valle del Cauca,Montería,Universidad B,Primero,Derecho,Administrativx,45,hembra,hetero,mujer,fisicas,indigena,ateismo,divorciado,municipioLocal,5,1,nunca,0,0,regular,Décimo,ContaduriaPublica,Estudiante,menores18,hembra,bisexual,otra,sensoriales,indigena,evangelismo,casado,municipioLocal,4
Valle del Cauca,Bogotá,Universidad B,Tercero,Derecho,Externo,59,intersexual,lesbiana,otra,intelectuales,gitanos,evangelismo,viudo,otroMunicipio,5,0,puntomedio,1,0,muyBuena,Noveno,Derecho,Administrativx,menores18,macho,hetero,hombre,fisicas,ninguna,catolicismo,viudo,municipioLocal,2
Valle del Cauca,Bogotá,Universidad B,Tercero,Psicologia,Externo,23,hembra,otra,mujer,multiples,afrocolombianos,otra,casado,otroMunicipio,3,0,nunca,0,0,buena,Décimo,AdministracionEmpresas,Administrativx,mayores40,hembra,hetero,otra,fisicas,ninguna,catolicismo,viudo,otroDepartamento,6
Cundinamarca,Medellín,Universidad B,Décimo,Derecho,Docente,20,macho,otra,hombre,sensoriales,ninguna,otra,viudo,otroPais,3,0,puntomedio,0,0,regular,Noveno,IngenieriaSistemas,Docente,menores18,hembra,otra,mujer,multiples,indigena,cristianismo,casado,otroMunicipio,4
Córdoba,Bogotá,Universidad C,Cuarto,Psicologia,Externo,52,macho,lesbiana,otra,intelectuales,ninguna,ateismo,soltero,otroMunicipio,5,0,casisiempre,1,1,buena,Quinto,ContaduriaPublica,Docente,entre26y40,intersexual,otra,otra,ninguna,afrocolombianos,catolicismo,viudo,otroPais,4
Antioquia,Montería,Universidad A,Sexto,AdministracionEmpresas,Estudiante,35,intersexual,bisexual,hombre,psicosociales,gitanos,catolicismo,viudo,municipioLocal,4,0,nunca,0,1,mala,Noveno,ContaduriaPublica,Docente,entre18y25,macho,bisexual,mujer,intelectuales,ninguna,evangelismo,viudo,otroMunicipio,1
Boyacá,Bogotá,Universidad A,Séptimo,Psicologia,Docente,28,macho,hetero,hombre,fisicas,ninguna,ateismo,casado,otroPais,3,1,casisiempre,1,1,muyBuena,Cuarto,AdministracionEmpresas,Docente,mayores40,hembra,lesbiana,otra,psicosociales,indigena,otra,viudo,otroPais,2
Antioquia,Montería,Universidad A,Décimo,AdministracionEmpresas,Docente,37,macho,hetero,otra,intelectuales,raizales,ateismo,divorciado,otroMunicipio,6,0,casisiempre,0,1,buena,Segundo,ContaduriaPublica,Estudiante,entre18y25,macho,gay,mujer,sensoriales,indigena,otra,unionLibre,otroDepartamento,3
Córdoba,Medellín,Universidad B,Cuarto,AdministracionEmpresas,Docente,22,macho,lesbiana,hombre,intelectuales,gitanos,otra,unionLibre,otroMunicipio,6,0,casisiempre,0,0,buena,Tercero,Derecho,Docente,entre18y25,hembra,gay,mujer,multiples,ninguna,evangelismo,unionLibre,otroMunicipio,6
Boyacá,Cali,Universidad B,Sexto,Psicologia,Administrativx,36,intersexual,lesbiana,mujer,multiples,ninguna,evangelismo,divorciado,otroDepartamento,4,0,casisiempre,1,0,regular,Primero,AdministracionEmpresas,Administrativx,entre18y25,intersexual,gay,otra,ninguna,gitanos,cristianismo,unionLibre,otroPais,2
Córdoba,Bogotá,Universidad A,Primero,ContaduriaPublica,Administrativx,39,hembra,bisexual,otra,intelectuales,indigena,agnosticismo,casado,otroDepartamento,5,0,siempre,1,1,regular,Quinto,Derecho,Administrativx,mayores40,hembra,lesbiana,mujer,psicosociales,raizales,agnosticismo,casado,otroPais,4
